unitprice,area,year,direction,decoration,bedroom,hall,lavatory,storey,totalstorey,elevator,property,far,parkinglot,greening,fee,admdist,secdist,subway,school,business,amenity
46218,95.2,12,1,3,2,2,1,中层,14,1,1,1.6,300,0.47,0.5,浦东,35482.76437,TRUE,FALSE,TRUE,FALSE
32051,78,10,1,2,2,2,1,低层,14,1,1,1.3,200,0.4,1,浦东,35482.76437,TRUE,FALSE,TRUE,TRUE
37500,88,20,1,3,2,2,1,中层,6,0,1,1.2,200,0.3,0.6,浦东,47038.57386,TRUE,TRUE,FALSE,FALSE
50593,91.9,19,1,3,2,2,1,中层,6,0,1,1.8,100,0.35,1.2,浦东,48258.65812,TRUE,TRUE,TRUE,FALSE
17955,88,2,1,3,2,2,1,中层,8,1,1,1.6,390,0.35,2.5,浦东,21714.91667,FALSE,FALSE,TRUE,TRUE
52042,101.8,14,1,3,2,2,1,低层,14,1,1,1.9,137,0.35,0.67,浦东,47038.57386,TRUE,TRUE,TRUE,TRUE
31326,78.2,9,1,3,2,1,1,低层,12,1,1,1.9,300,0.35,1.1,浦东,35482.76437,TRUE,FALSE,TRUE,FALSE
32980,84.9,11,1,2,2,2,1,中层,6,0,1,1.5,1000,0.35,0.8,浦东,35482.76437,FALSE,TRUE,TRUE,FALSE
48862,96.2,13,1,2,2,2,2,中层,14,1,1,2.3,100,0.35,1.5,浦东,41074.30357,TRUE,FALSE,TRUE,FALSE
35369,81.7,7,1,1,2,1,1,中层,18,1,1,2.1,836,0.43,1.11,浦东,35529.96226,TRUE,FALSE,TRUE,TRUE
40323,89.3,11,1,3,2,2,1,中层,6,0,1,2.2,1000,0.3,0.8,浦东,45208.65385,TRUE,FALSE,FALSE,FALSE
21411,88.7,7,1,3,2,2,1,中层,6,1,1,1.3,200,0.3,0.5,浦东,27226.73846,TRUE,FALSE,TRUE,FALSE
29334,86.9,6,1,3,2,2,1,中层,11,0,1,1.8,781,0.4,2.8,浦东,27226.73846,FALSE,TRUE,TRUE,FALSE
24750,80,3,1,3,2,2,1,中层,13,1,1,1.6,390,0.35,2.5,浦东,21714.91667,FALSE,TRUE,TRUE,TRUE
27286,83.6,7,1,3,2,2,1,低层,18,1,1,1.2,650,0.36,3.65,浦东,27929.52083,TRUE,FALSE,FALSE,FALSE
29885,87,5,1,3,2,2,1,低层,16,1,1,1.8,781,0.4,2.8,浦东,27226.73846,TRUE,TRUE,FALSE,FALSE
39594,80.8,7,1,2,2,2,1,中层,14,1,1,2.3,100,0.3,1.3,浦东,35529.96226,TRUE,TRUE,TRUE,FALSE
